,make,model,year,style,distance,engine_capacity,fuel_type,transmission,price
0,79,570,2011.0,4,195000.0,1800.0,2,0,7750.0
1,66,383,2014.0,11,135000.0,1500.0,0,1,8550.0
2,82,375,1998.0,4,1.0,1400.0,4,1,2200.0
3,66,448,2012.0,11,110000.0,1500.0,0,1,6550.0
4,61,143,2006.0,11,200000.0,1600.0,3,1,4100.0
5,55,768,2000.0,5,300000.0,2200.0,0,1,3490.0
6,82,545,2010.0,11,290000.0,1390.0,4,1,5600.0
7,82,727,2010.0,9,220000.0,2400.0,0,0,17000.0
8,55,666,1991.0,10,240000.0,2300.0,4,1,2850.0
9,8,76,2004.0,10,325000.0,300.0,0,1,3400.0
10,55,289,2010.0,10,210000.0,2200.0,0,0,11400.0
11,55,200,2006.0,2,300000.0,3200.0,0,0,11800.0
12,43,619,2005.0,11,23.0,1300.0,4,1,1550.0
13,8,88,1998.0,10,285000.0,3500.0,4,1,3990.0
14,82,375,2007.0,11,238371.0,1400.0,4,0,5000.0
15,82,376,2010.0,4,150000.0,1200.0,4,1,5500.0
16,83,787,2012.0,3,180000.0,2400.0,0,0,15900.0
17,60,593,2011.0,3,251000.0,1500.0,0,1,8300.0
18,37,486,2005.0,11,383000.0,1500.0,0,1,3200.0
19,6,109,2009.0,4,248000.0,2000.0,0,0,9299.0
20,55,289,2004.0,11,315000.0,1800.0,3,1,6900.0
21,28,60,1992.0,10,68000.0,2445.0,4,1,2222.0
22,66,489,2011.0,11,171000.0,1500.0,0,1,5700.0
23,78,495,2013.0,4,113000.0,367.0,1,0,27000.0
24,55,289,2014.0,10,275500.0,2200.0,0,0,18350.0
25,50,474,2017.0,10,157000.0,1998.0,2,0,17800.0
26,48,512,2017.0,3,76000.0,1998.0,4,0,27999.0
27,23,213,2008.0,4,113486.0,1998.0,3,0,4495.0
28,55,106,2000.0,4,1.0,1400.0,4,1,2100.0
29,6,1,1993.0,10,235000.0,2000.0,4,1,2950.0
30,64,225,2012.0,3,253444.0,3000.0,0,0,30222.0
31,48,605,2009.0,9,250000.0,3500.0,2,0,17990.0
32,82,545,2012.0,10,179000.0,1400.0,3,0,9800.0
33,8,779,2015.0,3,169777.0,2000.0,0,0,16888.0
34,55,357,2017.0,3,71333.0,2500.0,0,0,43404.0
35,61,755,1994.0,10,340000.0,1800.0,4,1,1500.0
36,8,88,2007.0,10,300000.0,3000.0,0,0,11500.0
37,55,289,2013.0,11,300.0,2200.0,0,0,11000.0
38,82,728,2004.0,6,280000.0,200.0,0,0,5300.0
39,79,222,1996.0,10,0.0,1800.0,4,1,1800.0
40,82,545,2010.0,11,228000.0,1400.0,3,0,5700.0
41,79,145,2010.0,10,185000.0,1400.0,0,1,6500.0
42,60,593,2009.0,4,200415.0,1500.0,0,1,6200.0
43,8,51,2016.0,6,136000.0,2000.0,0,0,13200.0
44,8,76,2003.0,10,250000.0,3000.0,4,0,7490.0
45,53,103,1988.0,10,345.0,3000.0,3,1,2100.0
46,19,461,2014.0,10,195000.0,1200.0,3,1,3999.0
47,19,288,2015.0,9,170000.0,1500.0,0,1,8800.0
48,82,375,2010.0,11,191500.0,1400.0,4,1,5700.0
49,55,768,1999.0,6,1.0,2300.0,0,1,4150.0
50,82,728,2013.0,6,1.0,1200.0,4,1,7599.0
52,8,51,2004.0,10,250000.0,2000.0,0,1,4499.0
53,60,593,2015.0,3,158000.0,1500.0,0,1,11750.0
54,62,52,2018.0,3,132000.0,1500.0,0,0,16500.0
55,81,27,1990.0,10,9999999.0,1300.0,4,1,3500.0
56,8,783,2005.0,9,260500.0,3000.0,4,0,8999.0
57,66,489,2005.0,11,11111.0,1500.0,0,1,3200.0
58,60,593,2013.0,9,180000.0,1500.0,0,1,8999.0
59,27,736,2012.0,6,151658.0,1800.0,0,1,3899.0
60,66,655,2015.0,5,185480.0,1461.0,0,1,7550.0
61,8,88,2009.0,10,215210.0,3000.0,0,0,16500.0
62,82,558,2007.0,4,305988.0,1400.0,0,1,3250.0
63,8,76,2014.0,10,231250.0,2000.0,0,0,18000.0
64,81,41,2004.0,6,12000.0,1700.0,4,1,1800.0
65,8,76,1998.0,10,11111.0,2500.0,4,1,3200.0
66,60,578,2014.0,4,87100.0,1200.0,4,1,7950.0
67,79,150,2000.0,10,420000.0,1600.0,3,1,2999.0
68,71,126,2002.0,6,2.0,2000.0,4,1,4299.0
69,35,201,2002.0,11,275100.0,2000.0,4,1,5900.0
70,8,76,2015.0,10,180236.0,2000.0,0,0,21500.0
71,35,201,2010.0,3,183000.0,2200.0,0,1,12999.0
72,60,522,2011.0,4,195000.0,1500.0,0,1,5250.0
73,82,545,1993.0,11,311254.0,2000.0,3,1,29000.0
81,61,143,2010.0,4,190000.0,1300.0,0,1,6500.0
82,72,613,2016.0,11,116000.0,1598.0,4,0,10300.0
83,82,668,2006.0,6,250000.0,2000.0,0,1,6900.0
84,48,306,2009.0,10,149.0,3490.0,3,0,10499.0
85,60,593,2015.0,3,149000.0,1200.0,4,0,12500.0
86,72,703,2016.0,10,170000.0,2000.0,0,0,17490.0
87,79,450,2001.0,9,250000.0,4700.0,3,0,9990.0
88,79,570,2008.0,4,1.0,1500.0,2,0,6800.0
89,79,257,2006.0,11,256000.0,1400.0,0,1,5490.0
90,53,740,2002.0,9,255000.0,2000.0,4,1,3990.0
91,16,770,2011.0,4,190000.0,1400.0,5,0,9150.0
92,55,359,2019.0,3,24000.0,3000.0,4,0,51000.0
93,82,545,2002.0,11,270000.0,1800.0,4,1,2550.0
94,82,727,2010.0,9,235000.0,3000.0,0,0,20950.0
95,8,76,2000.0,10,254604.0,2500.0,4,1,4500.0
96,66,489,2009.0,11,165000.0,1500.0,0,1,4999.0
97,79,182,2017.0,3,115000.0,1800.0,2,0,17999.0
98,8,88,1998.0,10,350000.0,3500.0,4,1,3990.0
99,55,289,2012.0,10,150000.0,2500.0,0,0,14490.0
100,6,114,2018.0,4,31091.0,3000.0,4,0,35500.0
101,66,244,2006.0,4,280000.0,1461.0,0,1,4299.0
102,75,739,2011.0,5,176.0,1400.0,0,1,5800.0
103,18,186,2012.0,4,145000.0,1400.0,0,0,6899.0
104,6,113,1997.0,10,29800.0,2400.0,3,1,2750.0
105,27,350,2013.0,10,178000.0,2000.0,2,0,9290.0
106,79,570,2014.0,10,140000.0,800.0,5,0,11200.0
107,82,759,1993.0,10,300000.0,1800.0,4,1,1700.0
108,26,695,2003.0,4,1.0,1200.0,4,1,2650.0
109,43,228,2009.0,4,1.0,1600.0,0,1,4700.0
110,66,218,2017.0,3,129000.0,1500.0,0,0,10990.0
111,48,204,2012.0,4,193000.0,1800.0,2,0,10950.0
112,83,787,2010.0,9,202000.0,2400.0,0,0,14750.0
113,19,285,2013.0,6,209000.0,1500.0,0,1,5750.0
114,37,813,2010.0,4,145000.0,1400.0,4,1,4750.0
116,83,789,2008.0,9,249000.0,2400.0,0,1,11500.0
117,37,370,2008.0,4,142000.0,1100.0,4,1,3499.0
118,55,106,2005.0,4,260000.0,1500.0,3,0,4750.0
119,55,178,2002.0,2,240000.0,2300.0,4,1,3499.0
120,41,794,2012.0,10,120000.0,2200.0,0,0,15999.0
121,55,289,2010.0,10,182000.0,1800.0,4,0,11750.0
122,72,524,2005.0,11,300000.0,2000.0,4,1,4999.0
123,61,143,2008.0,11,310000.0,1300.0,0,1,4850.0
124,72,703,2014.0,10,186000.0,1600.0,0,0,12300.0
125,82,136,2011.0,7,150000.0,2000.0,0,1,12800.0
126,55,768,2000.0,6,258000.0,2200.0,0,0,2999.0
127,55,289,2000.0,10,999.0,2000.0,4,0,3199.0
128,79,145,2010.0,4,1.0,1400.0,2,0,8990.0
129,60,593,2016.0,3,151000.0,1500.0,0,1,13890.0
130,8,76,2018.0,10,46000.0,2000.0,4,0,27650.0
131,66,489,2010.0,11,257110.0,1500.0,0,1,4999.0
132,27,499,2016.0,10,167000.0,1500.0,0,1,12990.0
133,79,182,2018.0,3,114000.0,1800.0,2,0,16750.0
134,60,593,2017.0,3,157600.0,1500.0,0,1,11990.0
135,79,145,2014.0,11,190000.0,1800.0,2,0,8990.0
136,79,182,2017.0,3,119000.0,1800.0,2,0,18790.0
137,62,52,2018.0,3,145000.0,1500.0,0,0,16790.0
138,66,430,2016.0,3,150200.0,1500.0,0,0,13450.0
139,48,512,2015.0,9,149000.0,2500.0,2,0,21750.0
140,82,545,2006.0,10,216000.0,2000.0,4,0,5350.0
141,38,581,2016.0,3,88000.0,1500.0,0,0,15790.0
142,58,223,2002.0,10,4.0,1800.0,4,0,2700.0
143,72,703,2004.0,10,1.0,1800.0,4,1,3600.0
144,55,768,2003.0,5,1.0,2200.0,0,1,4600.0
145,18,167,2001.0,6,68286164.0,1900.0,0,1,2050.0
146,82,545,2007.0,11,320000.0,1600.0,3,1,5999.0
147,37,486,2006.0,4,298000.0,1500.0,0,1,2999.0
148,35,240,2017.0,4,27138.0,1500.0,4,0,13300.0
149,8,76,2006.0,10,1.0,2500.0,4,0,6350.0
150,66,430,2016.0,3,140000.0,1500.0,0,0,12400.0
151,72,524,2012.0,10,166000.0,1600.0,0,0,8990.0
152,82,375,2000.0,4,1.0,1400.0,4,1,2750.0
153,72,703,2009.0,10,223000.0,2000.0,0,0,8990.0
154,79,257,2006.0,11,198563.0,1400.0,0,0,5350.0
155,83,640,2000.0,10,202698.0,2800.0,4,0,3999.0
156,47,345,2000.0,9,230000.0,2000.0,0,1,2750.0
157,8,76,2018.0,10,82000.0,2000.0,0,0,34000.0
158,82,545,1995.0,11,250369.0,1800.0,4,1,2700.0
159,43,480,2005.0,10,250632.0,2000.0,3,1,2690.0
160,71,414,1998.0,1,300000.0,1900.0,0,1,1450.0
161,72,328,2012.0,6,165500.0,1200.0,0,1,5100.0
162,72,524,2010.0,4,1.0,1390.0,4,1,6099.0
163,58,535,2011.0,9,248000.0,2000.0,4,0,9900.0
164,27,337,2016.0,11,170000.0,1499.0,0,1,8890.0
165,66,489,2008.0,11,245000.0,1500.0,0,1,3600.0
166,35,240,1999.0,11,290000.0,1500.0,4,1,1800.0
167,37,742,2014.0,3,120000.0,200.0,3,0,12000.0
168,79,150,2004.0,10,300.0,2000.0,4,1,5000.0
169,66,245,2007.0,10,211000.0,1400.0,4,1,2900.0
170,6,111,2012.0,10,166700.0,2000.0,4,0,10200.0
171,6,110,2016.0,4,145000.0,1400.0,1,0,16450.0
172,48,204,2014.0,10,81700.0,1800.0,2,0,12450.0
173,79,145,2013.0,11,142865.0,1400.0,0,1,8700.0
174,81,31,2007.0,10,135865.0,1400.0,4,1,1500.0
175,66,383,2013.0,6,181000.0,1500.0,0,0,7000.0
176,72,524,2014.0,11,155000.0,1400.0,4,0,9700.0
177,72,524,2015.0,10,164000.0,1600.0,0,0,12750.0
178,82,656,2010.0,2,150589.0,1400.0,4,1,7999.0
179,27,337,2015.0,11,152523.0,1500.0,0,0,9300.0
180,61,143,2007.0,11,190000.0,1300.0,0,1,4499.0
181,79,150,2014.0,11,165000.0,2000.0,0,1,15600.0
182,8,88,2006.0,10,260000.0,3000.0,0,0,11000.0
183,79,145,2011.0,4,182251.0,1798.0,2,0,8200.0
184,26,386,2008.0,4,185000.0,1300.0,0,0,3600.0
186,66,489,2005.0,10,190000.0,1500.0,0,1,3200.0
187,8,783,2007.0,3,250.0,3000.0,0,0,7100.0
188,76,384,2005.0,9,400000.0,2700.0,4,0,5500.0
189,82,375,2010.0,4,225550.0,2000.0,4,0,9650.0
190,20,432,2003.0,4,220000.0,1400.0,4,1,2000.0
191,60,128,2003.0,4,90000.0,1500.0,4,1,1000.0
192,66,383,2013.0,6,165000.0,1500.0,0,1,7500.0
193,35,242,2018.0,4,36000.0,1500.0,5,0,18499.0
194,79,762,2015.0,6,102000.0,1800.0,4,0,12500.0
195,8,76,2004.0,10,2899.0,2500.0,4,1,6100.0
196,58,535,2003.0,3,208367.0,2000.0,4,1,4600.0
197,82,728,2011.0,6,168000.0,1400.0,4,1,7999.0
198,79,572,2019.0,4,2500.0,1800.0,5,0,18999.0
199,43,684,2017.0,3,0.0,2200.0,0,0,21490.0
200,82,737,2004.0,5,190000.0,1896.0,0,1,6300.0
201,72,524,2011.0,11,210000.0,1400.0,4,1,6400.0
202,50,474,2014.0,10,160000.0,2000.0,2,0,12200.0
203,66,655,2004.0,11,180000.0,1500.0,0,1,3300.0
204,55,665,1984.0,11,100000.0,2400.0,0,1,1000.0
205,79,451,2007.0,3,202000.0,2700.0,3,0,14600.0
206,82,558,2017.0,4,170000.0,1422.0,0,1,8200.0
207,71,410,2001.0,4,1288776.0,1400.0,4,1,1400.0
208,79,257,2005.0,4,252.0,1400.0,0,1,4600.0
209,82,421,2013.0,10,198000.0,1400.0,2,0,8400.0
210,43,619,2004.0,11,183454.0,1300.0,4,1,2500.0
211,8,784,2013.0,3,104000.0,2979.0,4,0,30900.0
212,79,257,2006.0,4,119000.0,1600.0,4,0,5700.0
213,61,259,2007.0,4,283000.0,1300.0,0,1,3499.0
214,79,145,2017.0,4,146000.0,1800.0,2,0,11900.0
216,27,183,2016.0,5,141000.0,1500.0,0,1,9000.0
217,66,489,2013.0,6,220000.0,1500.0,0,1,5000.0
218,66,383,2008.0,4,232012.0,1500.0,0,1,3700.0
219,43,684,2018.0,9,38999.0,2000.0,0,0,24800.0
220,60,593,2014.0,3,219000.0,1500.0,0,1,10999.0
221,47,345,2007.0,9,300000.0,2200.0,0,0,9200.0
222,53,87,1994.0,10,300000.0,200.0,3,1,18000.0
223,79,570,2011.0,4,121000.0,1800.0,2,0,7900.0
224,37,486,2004.0,11,250000.0,1500.0,0,1,4000.0
225,61,807,2002.0,6,11111111.0,2000.0,3,1,3700.0
226,79,145,2014.0,11,200000.0,1390.0,0,1,8600.0
228,82,212,2013.0,11,174000.0,2000.0,0,1,9650.0
233,6,583,2013.0,9,143000.0,2000.0,4,0,17850.0
235,82,375,2009.0,11,200000.0,1400.0,4,1,4800.0
236,82,546,1994.0,10,68204075.0,1800.0,4,1,1550.0
237,60,593,2007.0,3,137660.0,1500.0,0,1,6600.0
238,61,143,2011.0,11,213548.0,1300.0,0,1,5650.0
239,79,799,2006.0,10,193096.0,1500.0,4,1,3700.0
240,61,214,1992.0,2,400000.0,2000.0,3,1,1600.0
241,66,430,2016.0,3,150425.0,1500.0,0,0,14990.0
242,27,350,2018.0,10,105000.0,2000.0,2,0,15000.0
243,82,545,2000.0,1,191000.0,1800.0,3,0,3850.0
244,66,244,1998.0,4,129448.0,1600.0,4,0,2399.0
245,66,381,2015.0,6,168000.0,1600.0,0,0,18650.0
246,8,51,1994.0,10,180000.0,1600.0,4,1,2400.0
247,79,570,2016.0,4,0.0,1800.0,2,0,12350.0
248,72,801,2015.0,3,150000.0,1400.0,4,0,11000.0
249,47,280,2007.0,9,223000.0,2700.0,0,0,15000.0
250,82,668,2011.0,11,141000.0,1400.0,4,1,9800.0
251,19,460,2013.0,11,0.0,1500.0,0,1,7490.0
253,55,289,2006.0,10,250000.0,2200.0,0,0,9999.0
